WKN;Name;ISIN;Branche;Sektor;Sell-Kurs;Buy-Kurs;Land;Anzahl_Aktien;Marktkapitalisierung;Stock3Score;Momentum_&_Vola;Kursperform_6_M;Kursperform_1_J;Delta_52_Wochen_Hoch;Vola_1_J;Bewertung;KUV;Free_Cash_Flow;PEG_Ratio;KGV_(2023);KGV_(2024);Kursziel;Wachstum;Umsatzwachstum_ueber_5_J;EPS_Wachstum_ueber_5_J;Umsatzwachstum_(2023);Umsatzwachstum_(2024);Wachstum_des_verwaesserten_Gewinns_je_Aktie_(2023);Wachstum_des_verwaesserten_Gewinns_je_Aktie_(2024);Qualitaet_und_Verschuldung;Eigenkapitalrendite;Eigenkapitalquote;EBIT_Marge;Liquiditaet_dritten_Grades;Liquiditaet_zweiten_Grades;Verhaeltnis_aus_Schulden_zum_EK;Verhaeltnis_aus_Schulden_und_Vermoegenswerten;Zinsdeckungsgrad;Dividende_&_Aktienrueckkaeufe;Gesamtrendite;Payout_Ratio;Dividende_(2023);Dividende_(2024)
121065;LPP S.A.;PLLPP0000011;Bekleidungsherstellung;Zyklische Konsumgüter;3.672,00;3.722,00;Polen;1,86 Mio.;6,81 Mrd. €;90;72;147,44;79,12;-5,70;1,167;59;1,79;13,10;0,70;18,15;14,46;17,90;95;128,07;314,21;10,15;19,88;47,97;25,55;42;47,70;12,97;30,85;1,07;0,42;133,31;41,12;731,14;62;2,68;21,79;3,10;4,00
872318;H & M Hennes & Mauritz AB;SE0000106270;Bekleidungsherstellung;Zyklische Konsumgüter;12,548;12,550;Schweden;1,62 Mrd.;20,16 Mrd. €;22;32;-11,50;7,52;-23,64;0,381;64;0,97;12,01;0,33;16,54;14,71;14,06;24;12,18;-29,97;0,46;2,89;58,86;12,40;24;12,37;4,33;27,88;1,16;0,43;143,10;39,90;657,49;47;5,44;300,93;5,00;5,40
A1W66W;Moncler S.p.A.;IT0004965148;Bekleidungsherstellung;Zyklische Konsumgüter;59,66;59,70;Italien;270,14 Mio.;16,12 Mrd. €;69;50;-6,64;3,29;-13,69;0,269;8;5,69;27,90;3,99;25,25;22,57;4,45;74;106,32;67,16;7,60;10,39;7,09;11,89;92;20,66;28,88;62,56;1,68;1,27;31,45;19,67;2.944,48;45;1,88;50,00;1,90;2,10
A1JD3A;Ralph Lauren Corp.;US7512121010;Bekleidungsherstellung;Zyklische Konsumgüter;167,8800;278,2600;USA;64,63 Mio.;11,31 Mrd. $;69;98;44,09;48,05;0,62;0,301;34;1,78;15,49;1,38;17,20;15,64;3,91;37;4,91;90,23;2,79;4,33;31,83;9,92;68;23,33;11,40;35,80;2,23;1,44;118,57;42,45;1.812,62;54;5,03;29,68;1,80;1,70
A1JHA5;PVH Corp.;US6936561009;Bekleidungsherstellung;Zyklische Konsumgüter;127,00;150,00;USA;59,64 Mio.;7,62 Mrd. $;45;91;52,13;59,30;-0,73;0,395;59;0,87;29,68;0,24;12,22;10,70;-4,15;27;-5,21;7,25;1,43;-0,34;242,84;14,15;40;10,74;9,54;42,59;1,29;0,54;76,38;32,53;533,26;27;4,88;;0,10;0,10
121221;Texas Capital Bancshares Inc.;US88224Q1076;Banken - Regional;Finanzdienstleistungen;54,50;55,50;USA;47,24 Mio.;2,80 Mrd. $;7;31;0,00;-10,66;-12,80;0,438;31;2,68;51,27;1,47;16,38;14,24;15,72;21;9,98;-37,68;0,88;6,92;2,22;15,01;52;13,76;;10,75;;;77,36;7,50;;22;4,48;;0,00;0,00
887771;BNP Paribas S.A.;FR0000131104;Banken - Regional;Finanzdienstleistungen;54,09;54,10;Frankreich;1,15 Mrd.;62,11 Mrd. €;59;32;-6,84;-17,28;-19,29;0,262;90;1,07;7,74;1,03;5,96;5,34;40,83;11;-12,39;46,22;-19,33;4,39;5,83;11,68;14;8,39;;4,77;;;294,84;14,08;;94;7,30;51,86;8,70;9,60
917523;U.S. Bancorp;US9029733048;Banken - Regional;Finanzdienstleistungen;39,73;40,20;USA;1,56 Mrd.;62,60 Mrd. $;44;31;1,82;-17,49;-18,48;0,400;68;2,21;9,13;1,56;10,20;9,15;19,25;24;24,97;-21,20;-1,36;4,43;20,50;11,41;29;11,81;;7,52;;;157,85;10,28;;80;4,80;50,95;4,90;5,00
867679;PNC Financial Services Group Inc;US6934751057;Banken - Regional;Finanzdienstleistungen;138,00;157,00;USA;398,03 Mio.;58,82 Mrd. $;36;60;13,72;-7,26;-8,66;0,305;35;2,75;14,16;3,78;11,78;10,43;10,87;22;32,74;18,54;-0,55;4,66;-1,96;13,04;32;12,04;;8,21;;;127,83;10,50;;80;6,17;41,52;4,30;4,40
850605;Intesa Sanpaolo S.p.A.;IT0000072618;Banken - Regional;Finanzdienstleistungen;2,8230;2,8240;Italien;18,26 Mrd.;51,42 Mrd. €;91;82;17,58;10,10;-4,50;0,239;93;2,01;2,22;0,75;6,26;6,17;28,70;18;37,16;72,79;2,20;-0,22;8,48;1,45;27;11,28;;6,32;;;155,93;9,85;;87;15,75;71,26;11,40;11,50
