WKN;Name;ISIN;Branche;Sektor;Stock3Score;Momentum_&_Vola;Kursperform 6 M;Kursperform_1_J;Delta_52_Wochen_Hoch;Vola_1_J;Bewertung;KUV;Free_Cash_Flow;PEG_Ratio;KGV_(2023);KGV_(2024);Kursziel;Wachstum;Umsatzwachstum_ueber_5_J;EPS-Wachstum_ueber_5_J;Umsatzwachstum_(2023);Umsatzwachstum_(2024);Wachstum_des_verwaesserten_Gewinns_je_Aktie_(2023);Wachstum_des_verwaesserten_Gewinns_je_Aktie_(2024);Qualitaet_und_Verschuldung;Eigenkapitalrendite;Eigenkapitalquote;EBIT-Marge;Liquiditaet_dritten_Grades;Liquiditaet_zweiten_Grades;Verhaeltnis_aus_Schulden_zum_EK;Verhaeltnis_aus_Schulden_und_Vermoegenswerten;Zinsdeckungsgrad;Dividende_&_Aktienrueckkaeufe;Gesamtrendite;Payout_Ratio;Dividende_(2023);Dividende_(2024
884113;Boston Scientific Corp.;US1011371077;Medizinische Geräte;Gesundheitswesen;32;92;-1,67;24,44;-8,84;0,205;31;5,47;91,31;1,58;25,25;22,47;20,76;83;43,49;65,06;11,14;8,55;343,84;12,36;36;4,85;13,22;54,13;1,51;0,76;52,82;28,59;342,77;0;0,00;-;0,00;0,00
WAF300;Siltronic AG;DE000WAF3001;Halbleiter;Technologie;71;84;19,94;24,23;-11,34;0,356;40;1,35;neg.;-;13,55;17,96;2,56;8;4,08;-53,45;-16,01;12,86;-55,52;-24,57;86;18,62;24,09;46,54;3,11;2,43;40,88;19,02;3.144,38;65;3,71;23,04;3,40;3,30
918422;NVIDIA Corp.;US67066G1040;Halbleiter;Technologie;80;78;54,17;234,43;-17,07;0,519;33;32,15;276,38;0,90;83,14;38,85;58,12;89;367,36;527,43;0,22;102,99;-54,81;506,93;85;40,22;34,74;53,67;3,52;2,61;54,44;29,21;1.695,80;26;0,76;9,20;0,08;0,00
A2JG9Z;Broadcom Inc.;US11135F1012;Halbleiter;Technologie;80;98;35,93;91,78;-6,85;0,319;36;10,46;24,48;1,35;20,45;18,59;14,03;79;71,79;48,43;7,87;9,32;53,84;9,99;64;64,57;46,18;31,00;2,62;2,18;174,01;53,95;815,83;55;4,34;63,86;2,10;2,30
863186;Advanced Micro Devices Inc.;US0079031078;Halbleiter;Technologie;69;69;17,14;74,40;-22,74;0,488;31;7,55;53,99;1,17;37,17;24,77;38,08;95;253,10;709,40;-3,13;20,00;223,76;50,07;81;-0,05;-1,07;81,02;2,36;1,57;5,23;4,24;1.445,45;5;0,92;-;0,00;0,00
855681;Intel Corp.;US4581401001;Halbleiter;Technologie;30;83;19,02;30,89;-11,88;0,385;20;2,73;neg.;1,74;55,52;20,31;3,47;19;-25,89;-86,15;-16,73;12,03;-67,53;174,09;62;-0,91;-4,23;55,70;1,57;1,01;41,42;23,07;1.666,13;30;2,76;75,26;1,90;1,50
A2GS40;Software AG;DE000A2GS401;Software-Infrastruktur;Technologie;50;72;5,49;44,25;-10,90;0,481;26;2,37;602,08;-;22,37;18,17;-3,54;60;15,52;-35,86;4,37;6,72;450,11;23,11;59;-0,67;5,61;56,42;1,69;1,50;42,06;23,73;448,46;34;0,16;19,23;1,00;1,50
870747;Microsoft Corp.;US5949181045;Software-Infrastruktur;Technologie;80;93;16,41;35,47;-10,56;0,292;11;11,64;42,38;2,42;36,89;29,71;21,27;79;87,29;115,61;6,88;11,22;0,31;13,35;92;38,82;43,07;50,06;1,77;1,54;29,08;14,56;4.638,16;36;1,73;28,10;0,80;0,90
871460;Oracle Corp.;US68389X1054;Software-Infrastruktur;Technologie;29;83;6,99;40,45;-19,92;0,281;34;5,92;45,49;1,25;34,96;18,40;26,50;87;36,06;81,77;17,71;7,60;27,39;76,00;4;-;26,36;0,80;0,91;0,74;8.432,53;67,33;360,37;40;1,82;46,91;1,51;1,40
871981;Adobe Inc.;US00724F1012;Software-Infrastruktur;Technologie;73;97;44,27;77,69;-5,22;0,345;9;13,61;34,73;2,07;34,13;30,21;10,12;91;114,57;201,61;10,05;12,29;57,20;12,98;91;33,97;35,06;51,72;1,11;1,00;32,97;17,05;5.464,29;10;2,08;-;0,00;0,00
A1JZ0Q;Palo Alto Networks Inc.;US6974351057;Software-Infrastruktur;Technologie;39;89;27,52;51,06;-7,95;0,396;15;12,97;29,88;1,75;386,54;45,79;14,51;99;182,68;1.741,40;25,29;18,92;-;268,28;25;44,90;8,51;12,06;0,78;0,68;129,87;15,66;2.862,44;6;0,38;-;-;0,00
A2YN90;TeamViewer SE;DE000A2YN900;Software-Anwendung;Technologie;37;68;-9,40;54,75;-15,43;0,378;46;4,66;16,13;-;19,82;17,12;18,09;94;144,32;1.123,94;11,46;8,91;105,31;15,81;14;83,06;26,39;9,83;0,44;0,41;548,78;53,95;663,50;23;5,36;-;0,00;0,00
A0B87V;Salesforce Inc;US79466L3024;Software-Anwendung;Technologie;56;76;5,27;28,11;-13,86;0,341;25;6,13;34,11;1,09;646,04;25,54;25,24;91;161,85;442,04;18,35;10,93;-85,81;3.720,08;51;2,67;12,98;59,04;1,02;0,90;24,14;14,25;347,40;23;4,06;-;-;0,00
716460;SAP SE;DE0007164600;Software-Anwendung;Technologie;47;96;0,31;27,88;-5,88;0,204;34;4,46;33,03;1,50;24,04;20,30;15,44;70;25,89;50,70;0,75;8,67;164,30;18,52;54;12,58;14,85;55,69;1,06;0,95;32,56;18,13;240,14;22;2,02;105,67;1,70;1,70
886053;Intuit Inc.;US4612021034;Software-Anwendung;Technologie;77;86;15,35;22,30;-8,67;0,351;8;10,38;31,97;2,28;64,69;31,12;10,04;94;136,26;173,20;12,90;11,55;15,66;92,75;84;14,14;22,53;62,16;1,47;1,26;38,73;24,08;1.305,24;34;1,98;37,05;0,61;0,70
A1JX4P;ServiceNow Inc.;US81762P1021;Software-Anwendung;Technologie;52;85;15,34;51,26;-11,20;0,384;15;14,03;53,55;1,69;54,57;44,33;18,27;98;241,52;6.543,32;22,98;21,75;518,94;23,05;55;25,61;8,41;37,84;1,11;1,00;44,36;16,78;1.577,78;0;0,00;-;0,00;0,00
A1J5RX;Telefónica Dtl. Hldg. AG;DE000A1J5RX9;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;10;14;-45,72;-24,93;-47,45;0,298;42;0,53;8,39;12,10;22,64;17,05;7,81;29;16,59;-8,61;3,76;1,31;-8,61;32,75;9;4,48;2,91;36,24;0,65;0,50;84,30;30,56;478,00;69;10,62;257,14;10,90;8,70
157484;Comcast Corp. Class A;US20030N1019;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;47;99;15,92;41,52;-9,10;0,233;69;1,56;21,41;0,96;11,36;10,21;15,32;49;27,20;48,60;-1,00;2,41;211,83;11,30;9;7,41;12,38;31,46;0,78;0,62;117,13;36,85;338,30;52;8,69;89,26;2,70;2,90
A1T7LU;T-Mobile US Inc.;US8725901040;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;24;78;-5,33;1,19;-10,53;0,209;46;2,19;neg.;0,24;19,26;13,81;26,40;79;81,03;111,46;-1,47;3,48;247,33;39,50;7;9,05;14,29;32,96;0,77;0,57;154,84;51,04;193,52;25;6,80;16.200,00;0,40;1,40
868402;Verizon Communications Inc.;US92343V1044;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;30;49;-14,37;-10,13;-25,38;0,220;59;0,98;28,38;6,05;6,81;6,86;21,36;9;2,02;24,26;-2,44;1,55;-7,66;-0,74;17;23,22;24,06;24,01;0,75;0,54;193,46;46,44;882,48;94;8,05;51,09;8,30;8,40
A0HL9Z;AT & T Inc.;US00206R1023;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;15;44;-11,53;-9,30;-27,98;0,273;60;0,88;20,72;9,24;6,41;6,23;14,58;17;-28,71;-14,87;0,82;1,22;114,70;2,93;2;-8,18;1,88;24,20;0,59;0,27;158,65;38,40;49,35;78;7,58;76,19;7,20;7,20
508903;United Internet AG;DE0005089031;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;54;79;29,04;7,15;-12,39;0,375;65;0,61;neg.;1,59;10,08;9,46;33,31;41;21,37;113,94;4,71;3,79;2,08;6,57;24;6,62;12,20;45,86;0,91;0,63;59,17;27,13;1.951,02;71;10,81;25,51;2,50;2,50
157484;Comcast Corp. Class A;US20030N1019;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;47;99;15,96;41,57;-9,07;0,233;69;1,56;21,41;0,96;11,36;10,21;15,26;49;27,20;48,60;-1,00;2,41;211,83;11,30;9;7,41;12,38;31,46;0,78;0,62;117,13;36,85;338,30;52;8,69;89,26;2,70;2,90
A1T7LU;T-Mobile US Inc.;US8725901040;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;24;78;-5,30;1,22;-10,53;0,209;46;2,19;neg.;0,24;19,26;13,81;26,35;79;81,03;111,46;-1,47;3,48;247,33;39,50;7;9,05;14,29;32,96;0,77;0,57;154,84;51,04;193,52;25;6,80;16.200,00;0,40;1,40
868402;Verizon Communications Inc.;US92343V1044;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;30;49;-14,35;-10,11;-25,37;0,220;59;0,98;28,38;6,05;6,81;6,86;21,34;9;2,02;24,26;-2,44;1,55;-7,66;-0,74;17;23,22;24,06;24,01;0,75;0,54;193,46;46,44;882,48;94;8,05;51,09;8,30;8,40
A0HL9Z;AT & T Inc.;US00206R1023;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;15;44;-11,55;-9,33;-27,98;0,273;60;0,88;20,72;9,24;6,41;6,23;14,62;17;-28,71;-14,87;0,82;1,22;114,70;2,93;2;-8,18;1,88;24,20;0,59;0,27;158,65;38,40;49,35;78;7,58;76,19;7,20;7,20
A0TGJ5;VARTA AG;DE000A0TGJ55;Elektrische Ausrüstung & Teile;Industrie;1;7;-25,08;-33,28;-47,44;0,516;6;0,95;neg.;-;neg.;neg.;2,63;20;199,34;-404,54;0,77;11,14;-140,52;-112,08;5;-100,43;-37,19;19,03;0,62;0,32;36,37;6,92;-1.340,04;33;12,03;79,49;0,00;0,00
919730;ABB Ltd.;CH0012221716;Elektrische Ausrüstung & Teile;Industrie;52;72;-4,61;11,17;-16,67;0,206;33;2,14;40,53;1,25;16,24;15,83;21,64;52;16,84;100,78;9,76;3,02;57,53;3,03;59;27,40;14,62;32,64;1,18;0,77;66,91;21,84;2.710,77;45;4,11;-;2,90;3,00
A0JKB2;Legrand S.A.;FR0010307819;Elektrische Ausrüstung & Teile;Industrie;61;78;-4,80;4,90;-13,28;0,197;20;2,74;16,75;2,42;18,38;18,14;15,45;43;42,56;61,16;2,52;2,77;24,32;1,44;78;17,23;18,94;46,04;2,04;1,36;70,30;32,37;1.373,76;52;2,94;50,99;2,40;2,50
A2ACSM;Hubbell Inc.;US4435106079;Elektrische Ausrüstung & Teile;Industrie;70;85;21,04;29,72;-17,29;0,292;27;3,12;37,24;1,47;18,40;17,42;18,15;61;19,80;131,63;8,51;4,56;50,23;5,62;80;25,93;17,33;43,70;1,86;1,10;65,99;28,84;1.424,60;42;1,74;43,10;1,80;1,90
A2PZ5A;Vertiv Holdings Co.;US92537N1081;Elektrische Ausrüstung & Teile;Industrie;40;78;195,76;185,01;-12,66;0,545;11;2,30;neg.;-;23,34;19,58;14,43;95;77,92;2.579,04;19,94;7,32;703,71;19,20;34;12,05;7,73;20,32;1,66;1,13;233,59;47,47;213,37;23;0,03;3,03;0,00;0,00
A0WMPJ;AIXTRON SE;DE000A0WMPJ6;Halbleiter Ausstattung und Materialien;Technologie;94;61;12,70;15,53;-23,10;0,378;26;7,14;438,47;2,08;22,34;19,79;41,07;94;135,71;214,63;36,80;10,45;44,94;10,36;99;17,87;23,42;73,47;3,02;1,94;1,20;0,88;29.634,55;37;0,89;34,83;1,50;1,50
A1J4U4;ASML Holding N.V.;NL0010273215;Halbleiter Ausstattung und Materialien;Technologie;65;62;-3,32;15,50;-21,10;0,316;29;8,55;38,10;1,26;28,08;27,38;27,93;86;148,89;218,79;28,64;3,41;37,52;7,17;72;81,25;33,05;24,27;1,28;0,80;48,35;11,74;10.718,59;39;2,06;41,05;1,20;1,30
865177;Applied Materials Inc.;US0382221051;Halbleiter Ausstattung und Materialien;Technologie;69;86;19,69;64,98;-12,45;0,380;33;4,52;25,68;4,59;17,03;17,37;17,18;38;57,56;164,06;2,08;-0,61;5,76;-1,92;86;47,44;29,12;45,63;2,16;1,23;47,80;21,81;3.432,89;40;3,24;13,71;0,80;0,90
869686;Lam Research Corp.;US5128071082;Halbleiter Ausstattung und Materialien;Technologie;61;78;18,08;64,47;-16,40;0,405;31;5,01;18,16;2,35;17,89;21,77;15,63;23;51,69;90,33;1,17;-15,98;1,40;-17,87;84;62,27;30,39;43,71;3,16;1,96;61,04;26,68;2.840,08;43;3,56;21,60;1,07;1,30
865884;KLA Corp.;US4824801009;Halbleiter Ausstattung und Materialien;Technologie;61;91;26,46;62,01;-9,49;0,363;27;6,41;20,87;2,69;19,75;21,02;15,36;57;109,93;195,33;13,94;-8,62;10,17;-8,41;66;156,78;38,93;20,75;2,24;1,37;207,66;43,09;1.376,08;49;3,03;11,57;-;1,10
A0LD2U;alstria office REIT-AG;DE000A0LD2U1;REIT - Büro;Immobilien;3;8;-39,24;-59,11;-60,06;0,358;66;3,03;24,58;0,12;22,92;22,02;;7;-1,44;-89,17;3,62;1,75;-22,10;4,08;4;-3,77;-20,13;49,80;0,95;0,87;93,50;46,56;-124,55;34;1,61;28,11;0,40;0,40
907179;Alexandria Real Est. Equ. Inc.;US0152711091;REIT - Büro;Immobilien;22;17;-23,63;-28,25;-45,13;0,305;35;5,98;20,91;3,24;30,34;20,80;49,00;77;116,04;-11,82;10,77;8,69;-2,11;45,85;21;3,10;29,53;53,41;0,58;0,53;55,69;29,75;811,97;45;4,90;148,43;5,20;5,50
907550;Boston Properties Inc.;US1011211018;REIT - Büro;Immobilien;25;33;4,34;-25,12;-31,64;0,381;38;2,78;18,17;5,66;21,69;22,80;22,54;9;18,73;-32,78;3,78;2,55;-53,90;-4,87;40;11,09;41,45;25,33;3,16;3,09;239,60;60,70;333,47;77;6,59;72,59;7,30;7,30
A0BLMY;Gecina S.A.;FR0010040865;REIT - Büro;Immobilien;9;65;-8,63;1,34;-20,27;0,228;23;8,87;119,99;12,30;15,40;15,03;24,35;11;-26,88;-56,66;-12,91;1,40;156,84;2,43;9;-8,04;-108,59;61,70;0,18;0,04;57,04;35,19;278,35;49;5,48;231,44;5,90;6,00
893899;Vornado Realty Trust;US9290421091;REIT - Büro;Immobilien;6;46;32,35;-9,38;-24,18;0,483;19;2,29;15,51;7,20;48,92;429,25;1,03;3;-13,26;-79,57;4,27;-1,65;-80,63;-88,60;23;-8,89;-5,27;35,41;2,17;2,01;156,26;55,33;-39,92;43;4,53;400,00;4,00;6,10
A2DW8Z;Aroundtown SA;LU1673108939;Immobilien-Dienstleistungen;Immobilien;16;41;62,95;-2,54;-34,79;0,641;37;1,37;22,23;-;neg.;14,90;3,05;5;113,47;-187,48;-0,93;-0,67;-332,27;-90,20;26;-13,78;-144,95;38,38;3,77;2,81;104,27;40,01;-128,41;71;3,86;43,40;3,40;4,80
922134;CoStar Group Inc.;US22160N1090;Immobilien-Dienstleistungen;Immobilien;48;66;4,87;2,62;-20,23;0,284;9;13,51;75,21;2,99;59,03;50,63;33,12;91;106,42;88,37;12,73;15,94;33,89;16,46;86;5,92;15,68;81,76;13,92;13,75;16,09;13,16;13.902,37;0;0,00;-;0,00;0,00
A1JLYH;CBRE Group Inc.;US12504L1098;Immobilien-Dienstleistungen;Immobilien;43;50;-4,32;-1,89;-24,09;0,297;72;0,72;17,11;1,68;17,19;13,46;33,40;59;47,38;26,38;2,02;8,37;-9,27;27,75;45;10,42;3,00;38,28;1,03;0,92;44,47;17,02;3.111,05;19;4,54;-;0,00;0,00
A14RZD;Cellnex Telecom S.A.;ES0105066007;Immobilien-Dienstleistungen;Immobilien;2;30;-28,20;-16,44;-29,92;0,263;16;6,42;1.415,17;-;neg.;neg.;63,46;27;373,23;-863,75;26,40;5,25;-179,27;-145,51;2;-2,33;4,88;32,13;0,99;0,84;147,45;47,38;21,71;28;0,05;52,55;0,20;0,30
A3H3LL;Vantage Towers;DE000A3H3LL2;Immobilien-Dienstleistungen;Immobilien;27;100;9,90;29,12;-0,45;0,182;10;16,31;54,71;1,73;44,99;36,11;-10,46;61;143,49;73,83;7,03;2,45;32,48;-3,74;23;8,68;49,37;50,23;0,19;0,17;75,99;38,17;612,34;38;0,11;4,28;1,87;2,20
676650;Aurubis AG;DE0006766504;Metallerzeugung;Industrie;54;40;-14,39;12,50;-30,13;0,351;68;0,18;neg.;1,83;10,02;8,61;28,24;26;62,94;11,38;-8,30;2,61;-56,05;16,39;63;7,02;2,14;57,17;2,35;0,63;7,69;4,40;5.554,65;45;2,57;29,21;1,90;1,70
931083;ATI Inc;US01741R1023;Metallerzeugung;Industrie;40;54;-6,27;23,10;-24,83;0,395;46;1,53;68,43;1,33;16,17;12,32;40,20;71;4,17;24,58;9,89;6,89;115,29;31,30;50;29,04;9,65;23,53;2,57;1,27;167,13;39,32;275,90;26;1,34;50,00;0,00;0,00
750000;ThyssenKrupp AG;DE0007500001;Metallerzeugung;Industrie;34;61;-1,01;20,34;-17,08;0,422;46;0,11;neg.;125,32;neg.;7,67;53,19;6;-10,45;-153,96;-9,59;-3,35;-102,96;1.455,10;61;2,41;0,94;37,88;1,97;1,15;28,03;10,62;874,86;49;2,08;8,24;2,20;2,80
887240;Mueller Industries Inc.;US6247561029;Metallerzeugung;Industrie;92;63;2,22;14,09;-22,98;0,324;65;1,09;5,90;3,41;9,16;12,82;41,23;12;25,36;318,48;-21,05;0,19;-34,75;-28,57;100;35,54;23,60;79,87;4,41;3,04;1,33;1,06;108.251,98;65;2,09;8,59;-;-
;ESAB Corp;;Metallerzeugung;Industrie;-;88;9,35;80,24;-12,91;0,322;42;1,51;30,03;1,66;-;-;;-;-;-;-;-;-;-;40;15,32;14,38;35,97;1,64;0,74;97,28;34,99;-;49;0,31;4,06;-;-
520000;Beiersdorf AG;DE0005200000;Haushalts- und persönliche Produkte;Defensive Konsumgüter;48;96;-4,19;25,15;-5,60;0,148;5;2,97;110,74;2,71;30,66;26,76;5,14;59;31,48;23,59;8,08;5,86;19,14;14,58;81;10,58;13,81;63,05;1,47;0,93;3,10;1,95;6.950,00;31;0,57;21,03;0,60;0,70
852062;The Procter & Gamble Co.;US7427181091;Haushalts- und persönliche Produkte;Defensive Konsumgüter;32;92;-4,74;15,84;-5,96;0,150;9;4,54;27,12;3,47;26,39;23,23;10,57;42;25,43;341,24;2,27;3,53;1,55;5,40;38;31,34;23,30;38,71;0,63;0,38;75,73;29,32;2.527,65;60;4,68;15,48;2,48;2,60
853888;L'Oréal S.A.;FR0000120321;Haushalts- und persönliche Produkte;Defensive Konsumgüter;52;75;-12,22;20,02;-14,06;0,225;6;5,22;37,85;4,04;31,41;28,90;11,38;68;53,70;73,94;8,21;6,91;13,67;8,68;81;21,69;19,53;58,02;1,02;0,54;20,79;12,06;9.996,75;41;1,72;56,55;1,70;1,80
A0JNE2;Unilever PLC;GB00B10RZP78;Haushalts- und persönliche Produkte;Defensive Konsumgüter;19;76;-8,04;-0,42;-10,14;0,132;24;1,96;23,66;34,92;17,36;16,23;11,53;13;17,64;-24,67;-0,17;3,11;-12,37;6,93;24;42,06;20,04;24,44;0,75;0,47;149,51;36,54;1.410,14;60;5,07;-;3,80;4,10
850667;Colgate-Palmolive Co.;US1941621039;Haushalts- und persönliche Produkte;Defensive Konsumgüter;19;80;-5,79;2,66;-10,62;0,157;9;3,22;37,49;2,38;23,20;21,39;11,99;47;24,46;14,48;7,68;3,69;48,34;8,48;32;2.878,85;15,88;2,55;1,28;0,57;2.311,97;58,93;1.692,81;30;4,49;109,39;2,70;2,80
A1DAHH;Brenntag AG;DE000A1DAHH0;Spezialchemikalien;Grundstoffe;70;77;-6,94;11,19;-12,51;0,229;59;0,59;18,74;1,14;12,99;12,10;24,34;31;41,94;75,81;-8,31;3,94;-8,73;7,49;63;17,16;6,22;41,79;1,83;1,18;61,61;25,74;1.321,46;57;2,72;50,17;2,90;3,10
A3D7VW;Linde PLC;IE000S9YS762;Spezialchemikalien;Grundstoffe;32;95;0,35;28,09;-6,19;0,209;8;5,58;33,94;3,01;26,36;24,21;14,43;61;123,60;4,95;-0,57;5,33;67,66;8,92;36;14,30;22,96;50,25;0,79;0,63;46,94;23,59;2.678,14;43;3,31;56,87;1,40;1,50
850133;Air Liquide-SA Ét.Expl.P.G.Cl.;FR0000120073;Spezialchemikalien;Grundstoffe;24;89;-6,47;15,39;-9,65;0,167;10;2,82;30,54;2,31;23,52;21,63;17,88;45;34,30;58,99;-5,73;5,02;22,91;8,73;27;13,74;15,86;47,93;0,93;0,54;56,35;27,01;1.166,38;45;1,90;55,98;2,10;2,20
854912;Air Products & Chemicals Inc.;US0091581068;Spezialchemikalien;Grundstoffe;56;76;-4,34;16,28;-14,61;0,239;13;4,99;230,48;1,69;24,42;21,79;18,51;59;42,72;68,01;0,36;6,76;12,94;12,05;76;15,77;22,45;48,34;1,81;1,51;63,35;30,62;2.252,11;52;2,42;41,33;2,40;2,60
856050;Sherwin-Williams Co.;US8243481061;Spezialchemikalien;Grundstoffe;13;78;1,55;15,59;-15,36;0,274;10;2,75;56,68;2,42;24,36;22,07;24,00;54;30,13;147,69;3,02;3,19;25,69;10,42;11;80,01;14,94;13,73;0,99;0,46;403,21;55,36;758,42;37;2,04;31,15;0,90;1,00
CBK100;Commerzbank AG;DE000CBK1001;Banken - Regional;Finanzdienstleistungen;91;63;-3,67;24,81;-15,75;0,389;97;1,09;2,24;0,12;5,66;4,94;42,06;68;25,11;152,73;3,21;4,66;76,15;16,28;20;5,35;-;6,29;-;-;145,81;9,17;-;72;1,85;20,20;4,70;6,70
887771;BNP Paribas S.A.;FR0000131104;Banken - Regional;Finanzdienstleistungen;81;72;-5,57;17,14;-16,99;0,263;87;1,23;7,74;1,11;6,59;5,82;41,03;27;-9,65;47,29;-21,46;5,79;8,20;13,27;18;9,97;-;4,57;-;-;244,39;11,16;-;92;6,45;50,00;8,10;8,70
917523;U.S. Bancorp;US9029733048;Banken - Regional;Finanzdienstleistungen;48;27;-4,44;-22,65;-37,28;0,380;63;1,96;4,31;2,30;8,46;7,65;30,26;33;25,57;-8,28;16,93;-0,45;3,15;9,32;31;12,37;-;7,52;-;-;136,68;10,28;-;86;5,90;50,95;6,10;6,20
850605;Intesa Sanpaolo S.p.A.;IT0000072618;Banken - Regional;Finanzdienstleistungen;95;69;-4,87;22,02;-11,25;0,255;95;1,88;2,15;0,70;5,92;5,64;46,43;54;36,13;65,01;11,04;0,91;72,19;4,79;25;9,86;-;6,32;-;-;155,93;9,85;-;88;15,12;71,26;12,00;12,50
867679;PNC Financial Services Group Inc;US6934751057;Banken - Regional;Finanzdienstleistungen;33;30;-8,71;-27,45;-33,38;0,308;49;2,13;11,53;5,61;8,46;9,09;21,75;16;33,07;24,67;2,04;-0,16;-2,94;-6,97;32;12,16;-;8,21;-;-;127,83;10,50;-;89;9,37;43,32;5,40;5,50
547030;CTS Eventim AG & Co. KGaA;DE0005470306;Unterhaltung;Kommunikationsdienstleistungen;63;52;-9,02;9,85;-26,05;0,303;30;2,49;43,23;-;21,89;20,50;36,83;68;72,45;96,83;11,19;3,76;14,20;6,81;73;33,73;17,16;28,04;1,09;0,97;16,58;4,65;6.817,26;47;1,96;50,00;2,10;2,40
552484;Netflix Inc.;US64110L1061;Unterhaltung;Kommunikationsdienstleistungen;32;76;23,22;40,01;-16,41;0,415;12;4,87;118,97;1,41;33,59;25,93;12,95;91;113,39;326,21;6,61;13,03;17,31;27,18;51;20,26;17,26;42,76;1,17;0,96;69,08;29,54;845,38;3;0,58;-;0,00;0,00
855686;The Walt Disney Co.;US2546871060;Unterhaltung;Kommunikationsdienstleistungen;21;28;-16,35;-18,29;-29,43;0,320;43;1,76;188,65;0,98;22,47;17,56;25,46;68;49,95;-55,98;7,74;5,08;113,76;28,01;32;2,37;6,88;46,66;1,00;0,83;54,32;25,34;441,19;24;0,00;26,51;0,00;0,40
A3C291;UNIVERSAL MUSIC GROUP EO1;NL0015000IY2;Unterhaltung;Kommunikationsdienstleistungen;30;99;23,63;22,97;-5,67;0,236;11;4,19;28,93;2,62;23,37;20,44;11,01;83;81,23;72,48;5,57;8,48;96,55;14,42;25;48,96;15,42;20,20;0,55;0,32;113,70;22,97;1.423,53;25;2,06;118,60;2,50;2,80
A3DJQZ;Warner Bros Discovery;US9344231041;Unterhaltung;Kommunikationsdienstleistungen;1;11;-20,66;-21,42;-35,12;0,535;49;0,62;22,30;1,17;neg.;221,88;72,38;23;298,38;-193,64;24,32;2,65;-121,08;-94,10;3;-13,98;-13,97;35,15;0,93;0,76;104,04;36,57;-404,22;0;0,00;-;0,00;0,00
823212;Deutsche Lufthansa AG;DE0008232125;Fluglinien;Industrie;40;28;-30,74;-3,95;-40,35;0,270;99;0,24;8,05;0,17;4,62;4,47;66,99;43;4,38;-55,78;13,21;6,36;119,02;2,70;8;19,24;6,68;19,40;0,86;0,72;180,51;35,01;315,16;48;0,00;17,47;3,00;4,60
A0MQV8;Delta Air Lines Inc.;US2473617023;Fluglinien;Industrie;30;43;-4,37;0,15;-34,47;0,308;90;0,38;neg.;0,15;5,31;4,87;64,59;52;23,45;7,49;8,45;3,20;195,47;8,97;8;50,16;8,63;9,11;0,50;0,37;465,06;42,34;286,01;30;0,27;21,34;0,50;1,00
A1401Z;Ryanair Holdings PLC;IE00BYTBXV33;Fluglinien;Industrie;74;70;-4,29;16,15;-18,85;0,275;64;1,68;8,90;61,79;12,39;8,89;62,54;96;70,65;107,92;124,44;21,91;-;39,23;32;23,49;14,10;34,40;0,80;0,64;72,94;25,09;1.978,26;37;4,22;-;-;1,70
862837;Southwest Airlines Co.;US8447411088;Fluglinien;Industrie;44;19;-24,16;-26,31;-39,57;0,308;64;0,63;neg.;0,29;14,81;10,95;27,90;66;18,97;-61,86;9,73;8,22;80,24;35,28;42;5,52;3,99;30,22;1,43;1,28;88,25;26,66;341,86;55;2,66;41,38;2,60;3,10
A1C6TV;United Airlines Holdings Inc.;US9100471096;Fluglinien;Industrie;27;21;-18,65;-11,63;-38,61;0,370;96;0,24;35,82;0,09;3,61;3,60;73,72;70;29,64;29,77;19,11;6,39;342,14;1,11;21;45,69;10,20;10,24;1,00;0,91;528,32;54,09;159,18;1;0,00;2.343,75;0,00;0,00
556520;Dürr AG;DE0005565204;Spezielle Industriemaschinen;Industrie;59;14;-36,10;-25,51;-45,83;0,313;89;0,44;15,10;1,15;7,59;6,48;85,05;56;20,95;14,95;8,50;3,54;38,06;17,18;33;13,75;5,43;24,69;1,24;0,85;78,20;19,31;779,80;76;2,72;38,67;4,80;5,90
A3CSML;General Electric Co.;US3696043013;Spezielle Industriemaschinen;Industrie;32;89;6,74;46,80;-9,38;0,307;22;1,46;33,32;1,49;45,18;24,29;22,02;45;-35,75;-88,75;-18,58;10,60;3.828,20;86,01;39;28,59;15,85;19,37;1,16;0,81;95,54;18,50;187,87;32;1,38;6,91;0,40;0,40
723610;Siemens AG;DE0007236101;Spezielle Industriemaschinen;Industrie;52;58;-14,07;14,76;-23,90;0,237;60;1,37;18,00;1,02;13,11;12,39;39,16;42;-6,72;36,20;7,62;3,82;108,55;5,79;45;19,61;17,41;32,27;1,38;0,97;103,56;33,42;1.138,32;52;4,94;92,59;3,50;3,80
