WKN;Name;ISIN;Branche;Sektor;Stock3Score;Momentum_&_Vola;Kursperform_6_M;Kursperform_1_J;Delta_52_Wochen_Hoch;Vola_1_J;Bewertung;KUV;Free_Cash_Flow;PEG_Ratio;KGV_(2023);KGV_(2024);Kursziel;Wachstum;Umsatzwachstum_ueber_5_J;EPS-Wachstum_ueber_5_J;Umsatzwachstum_(2023);Umsatzwachstum_(2024);Wachstum_des_verwaesserten_Gewinns_je_Aktie_(2023);Wachstum_des_verwaesserten_Gewinns_je_Aktie_(2024);Qualitaet_und_Verschuldung;Eigenkapitalrendite;Eigenkapitalquote;EBIT-Marge;Liquiditaet_dritten_Grades;Liquiditaet_zweiten_Grades;Verhaeltnis_aus_Schulden_zum_EK;Verhaeltnis_aus_Schulden_und_Vermoegenswerten;Zinsdeckungsgrad;Dividende_&_Aktienrueckkaeufe;Gesamtrendite;Payout_Ratio;Dividende_(2023);Dividende_(2024
856200;Solvay S.A.;BE0003470755;Chemikalien;Grundstoffe;66;72;-9,27;6,12;-14,61;0,233;78;0,71;10,31;1,37;8,11;8,51;31,97;8;12,03;58,15;-21,23;1,89;-26,91;-4,70;57;12,31;10,18;51,32;1,44;0,79;27,89;14,31;1.922,88;69;3,86;22,13;3,80;3,90
;Univar Solutions Inc.;;Chemikalien;Grundstoffe;54;97;;;;;53;;;;12,64;10,63;;36;27,37;134,43;-4,19;1,18;-13,07;18,88;40;17,53;6,54;34,90;;;;;;42;;;0,90;2,00
BAY001;Bayer AG;DE000BAY0017;Arzneimittelhersteller - Allgemeines;Gesundheitswesen;65;25;-31,13;-22,63;-37,21;0,247;91;0,91;18,14;1,57;6,43;5,47;53,95;61;31,40;258,33;-4,84;2,80;52,84;17,76;23;3,86;8,69;31,05;1,08;0,61;106,57;33,09;351,48;84;5,28;56,87;5,50;5,70
858560;Eli Lilly and Company;US5324571083;Arzneimittelhersteller - Allgemeines;Gesundheitswesen;56;100;52,51;71,56;-7,20;0,267;9;18,59;125,06;1,73;59,86;46,36;3,29;94;55,01;210,84;16,73;16,76;40,84;28,75;47;66,27;25,98;21,52;1,05;0,63;152,48;32,81;2.152,59;32;0,96;56,81;0,80;0,90
853260;Johnson & Johnson;US4781601046;Arzneimittelhersteller - Allgemeines;Gesundheitswesen;39;67;-6,52;-9,31;-15,49;0,162;41;4,57;22,92;5,05;15,16;14,10;15,96;31;3,87;76,98;-10,75;3,64;47,70;7,49;36;17,23;17,22;40,99;0,99;0,77;51,64;21,17;7.971,38;61;3,82;66,12;3,00;3,10
A0YD8Q;Merck & Co. Inc.;US58933Y1055;Arzneimittelhersteller - Allgemeines;Gesundheitswesen;61;70;-11,45;7,32;-14,19;0,192;65;4,45;19,29;0,85;34,10;12,18;20,91;49;40,18;29,41;0,01;5,52;-47,15;178,51;39;7,59;10,99;42,13;1,47;0,93;66,73;28,12;1.809,36;58;3,03;48,34;2,90;3,20
A1J84E;AbbVie Inc.;US00287Y1091;Arzneimittelhersteller - Allgemeines;Gesundheitswesen;32;70;-10,88;-0,56;-13,02;0,199;51;4,73;13,03;5,92;13,23;13,16;14,91;47;63,48;201,62;-7,76;-0,91;66,46;0,32;15;62,76;22,64;12,43;0,96;0,69;366,70;45,58;704,35;55;4,67;86,12;3,90;4,20
519000;BMW AG;DE0005190003;Automobilhersteller;Zyklische Konsumgüter;91;75;-8,28;17,19;-18,16;0,223;93;0,37;7,56;0,26;5,13;5,63;18,09;27;54,57;72,21;4,98;1,54;-33,16;-7,91;51;11,28;11,32;35,28;1,09;0,73;82,14;28,98;10.321,30;90;8,82;31,12;6,00;5,70
A1CX3T;Tesla Inc.;US88160R1014;Automobilhersteller;Zyklische Konsumgüter;35;46;30,42;-1,14;-29,17;0,596;3;8,98;92,13;2,15;67,52;52,76;14,74;95;361,93;762,59;21,69;26,29;-18,46;37,16;81;27,96;14,36;54,29;1,53;0,94;12,86;6,98;7.282,72;0;0,00;;0,00;0,00
853510;Toyota Motor Corp.;JP3633400001;Automobilhersteller;Zyklische Konsumgüter;73;98;30,94;16,02;-11,74;0,209;31;0,92;;2,91;10,45;9,59;15,85;86;40,14;105,15;18,40;14,00;-12,55;48,73;45;10,49;11,27;38,14;1,10;0,89;103,68;39,54;7.847,13;60;3,37;33,43;2,95;2,90
710000;Mercedes-Benz AG;DE0007100000;Automobilhersteller;Zyklische Konsumgüter;81;63;-12,74;4,97;-19,25;0,213;82;0,45;11,95;63,50;4,73;4,86;45,40;17;-8,06;92,58;2,57;2,19;-3,64;-2,68;51;18,69;14,05;32,85;1,16;0,74;98,83;32,47;4.855,04;94;7,89;38,38;8,50;8,50
A2QL01;Stellantis N.V.;NL00150001Q9;Automobilhersteller;Zyklische Konsumgüter;99;97;18,44;29,98;-7,81;0,267;97;0,31;7,09;0,30;3,05;3,30;31,11;47;72,38;148,35;5,98;1,43;8,16;-7,59;67;27,85;12,79;38,68;1,27;0,93;37,71;14,59;1.723,97;96;10,53;25,24;8,90;8,60
543900;Continental AG;DE0005439004;Autoteile;Zyklische Konsumgüter;44;56;-5,71;15,10;-24,08;0,328;82;0,33;128,26;0,23;7,81;6,40;29,56;48;-4,80;-46,70;7,27;3,58;2.240,40;22,74;30;4,88;3,93;34,96;1,14;0,63;57,88;20,23;333,36;30;2,25;454,55;3,30;4,40
A3DW3V;Mobileye Global;US60741F1049;Autoteile;Zyklische Konsumgüter;-;30;-22,41;22,75;-26,11;0,547;4;14,99;65,05;;;;;;;;;;;;57;-0,94;-3,74;95,81;3,95;3,37;;;-33,33;;;;;
A1JPLB;Aptiv PLC;JE00B783TY65;Autoteile;Zyklische Konsumgüter;57;39;-12,89;5,70;-26,33;0,334;54;1,30;77,22;0,68;19,41;14,87;40,90;85;39,54;17,34;15,17;9,49;141,87;30,48;61;10,32;8,76;40,25;1,60;1,07;79,02;31,81;552,05;29;0,35;22,86;0,10;0,20
A3DL84;Michelin;FR001400AJ45;Autoteile;Zyklische Konsumgüter;74;85;-2,74;7,38;-9,64;0,211;56;0,71;16,22;6,99;9,01;8,72;18,76;29;30,54;37,65;0,58;1,97;13,89;3,28;59;14,16;11,70;48,41;1,67;0,78;42,90;20,77;863,22;79;4,30;44,80;5,00;5,30
868610;Magna International Inc.;CA5592224011;Autoteile;Zyklische Konsumgüter;66;46;1,21;-16,66;-25,41;0,343;79;0,38;106,11;0,80;9,72;7,80;33,10;70;;;7,55;5,30;9,45;23,84;40;8,38;3,55;39,35;1,14;0,73;46,39;18,26;796,83;50;4,68;89,16;3,60;3,60
606214;Covestro AG;DE0006062144;Spezialchemikalien;Grundstoffe;27;90;29,20;38,34;-13,67;0,349;35;0,57;89,30;0,31;;22,36;16,17;13;2,11;-102,32;-16,94;5,21;-115,44;903,48;38;-11,34;-2,26;48,58;2,18;1,14;51,59;25,07;178,31;33;0,42;40,62;0,10;2,10
A3D7VW;Linde PLC;IE000S9YS762;Spezialchemikalien;Grundstoffe;32;95;-0,45;27,07;-6,94;0,210;8;5,58;33,94;3,01;26,36;24,21;15,34;61;123,60;4,95;-0,57;5,33;67,66;8,92;36;14,30;22,96;50,25;0,79;0,63;46,94;23,59;2.678,14;43;3,31;56,87;1,40;1,50
850133;Air Liquide-SA Ét.Expl.P.G.Cl.;FR0000120073;Spezialchemikalien;Grundstoffe;24;89;-6,94;14,80;-10,12;0,168;10;2,82;30,54;2,31;23,53;21,65;18,72;45;34,30;58,99;-5,73;5,02;22,91;8,73;27;13,74;15,86;47,93;0,93;0,54;56,35;27,01;1.166,38;45;1,90;55,98;2,10;2,20
854912;Air Products & Chemicals Inc.;US0091581068;Spezialchemikalien;Grundstoffe;56;76;-5,02;15,45;-15,21;0,239;13;4,99;230,48;1,69;24,28;21,66;19,36;59;42,72;68,01;0,36;6,76;12,94;12,05;76;15,77;22,45;48,34;1,81;1,51;63,35;30,62;2.252,11;52;2,42;41,33;2,50;2,70
856050;Sherwin-Williams Co.;US8243481061;Spezialchemikalien;Grundstoffe;13;78;0,48;14,38;-16,24;0,274;10;2,75;56,68;2,42;24,15;21,87;25,04;54;30,13;147,69;3,02;3,19;25,69;10,42;11;80,01;14,94;13,73;0,99;0,46;403,21;55,36;758,42;37;2,04;31,15;1,00;1,00
