WKN;Name;ISIN;Branche;Sektor;Stock3Score;Momentum & Vola;Kursperform 6 M;Kursperform 1 J;Delta 52 Wochen Hoch;Vola 1 J;Bewertung;KUV;Free Cash Flow;PEG Ratio;KGV (2023);KGV (2024);Kursziel;Wachstum;Umsatzwachstum ueber 5 J;EPS-Wachstum ueber 5 J;Umsatzwachstum (2023);Umsatzwachstum (2024);Wachstum des verwaesserten Gewinns je Aktie (2023);Wachstum des verwaesserten Gewinns je Aktie (2024);Qualitaet und Verschuldung;Eigenkapitalrendite;Eigenkapitalquote;EBIT-Marge;Liquiditaet dritten Grades;Liquiditaet zweiten Grades;Verhaeltnis aus Schulden zum EK;Verhaeltnis aus Schulden und  Vermoegenswerten;Zinsdeckungsgrad;Dividende & Aktienrueckkaeufe;Gesamtrendite;Payout Ratio;Dividende (2023);Dividende (2024
919730;ABB Ltd.;CH0012221716;Elektrische Ausrüstung & Teile;Industrie;52;75;-0,31;14,49;-13,90;0,205;35;2,14;40,53;1,25;16,54;16,06;19,85;52;16,97;101,09;9,88;3,01;57,77;3,14;59;27,40;14,62;32,64;1,18;0,77;66,91;21,84;2.710,77;45;4,11;-;2,80;3,00
A0JKB2;Legrand S.A.;FR0010307819;Elektrische Ausrüstung & Teile;Industrie;61;82;0,55;7,01;-10,32;0,196;21;2,74;16,75;2,42;18,39;18,13;11,64;43;42,56;61,16;2,52;2,77;24,32;1,44;78;17,23;18,94;46,04;2,04;1,36;70,30;32,37;1.373,76;53;2,94;50,99;2,40;2,50
A2ACSM;Hubbell Inc.;US4435106079;Elektrische Ausrüstung & Teile;Industrie;69;90;25,45;33,17;-14,74;0,292;24;3,17;37,98;1,49;19,05;18,04;14,63;61;19,80;131,63;8,51;4,56;50,23;5,62;80;25,93;17,33;43,70;1,86;1,10;65,99;28,84;1.424,60;41;1,74;43,10;1,70;1,80
A2PZ5A;Vertiv Holdings Co.;US92537N1081;Elektrische Ausrüstung & Teile;Industrie;39;86;215,81;239,91;-10,16;0,552;8;2,45;neg.;-;24,11;20,22;11,18;95;77,92;2.579,04;19,94;7,32;703,71;19,20;34;12,05;7,73;20,32;1,66;1,13;233,59;47,47;213,37;23;0,03;3,03;0,00;0,00
A0WMPJ;AIXTRON SE;DE000A0WMPJ6;Halbleiter Ausstattung und Materialien;Technologie;90;48;6,78;14,55;-21,16;0,381;26;7,14;427,64;2,08;22,68;20,55;35,52;94;135,71;214,70;36,80;10,45;44,97;10,33;99;17,87;23,42;73,47;3,02;1,94;1,20;0,88;29.634,55;38;0,89;34,83;1,40;1,50
A1J4U4;ASML Holding N.V.;NL0010273215;Halbleiter Ausstattung und Materialien;Technologie;69;58;4,73;18,66;-17,20;0,320;34;8,55;38,10;1,26;29,62;27,64;23,41;88;148,66;218,10;28,52;4,17;37,23;8,48;72;81,25;33,05;24,27;1,28;0,80;48,35;11,74;10.718,59;39;2,06;41,05;1,10;1,30
865177;Applied Materials Inc.;US0382221051;Halbleiter Ausstattung und Materialien;Technologie;69;88;23,66;83,08;-8,89;0,379;31;4,57;26,87;4,63;17,86;18,20;12,65;38;57,56;164,06;2,08;-0,61;5,76;-1,92;87;47,44;29,12;45,63;2,16;1,23;47,80;21,81;3.432,89;40;3,24;13,71;0,80;0,90
869686;Lam Research Corp.;US5128071082;Halbleiter Ausstattung und Materialien;Technologie;60;83;21,98;94,57;-11,60;0,408;28;5,07;19,14;2,38;17,89;23,48;8,37;23;51,69;90,33;1,17;-15,98;1,40;-17,87;84;62,27;30,39;43,71;3,16;1,96;61,04;26,68;2.840,08;42;3,56;21,60;1,07;1,10
865884;KLA Corp.;US4824801009;Halbleiter Ausstattung und Materialien;Technologie;65;91;27,60;76,28;-7,84;0,365;27;6,50;21,42;2,73;19,75;21,56;13,30;57;109,93;195,33;13,94;-8,62;10,17;-8,41;67;156,78;38,93;20,75;2,24;1,37;207,66;43,09;1.376,08;50;3,03;11,57;-;1,10
A0LD2U;alstria office REIT-AG;DE000A0LD2U1;REIT - Büro;Immobilien;3;7;-36,47;-56,98;-59,28;0,359;66;3,03;24,58;0,12;22,92;22,02;;8;-1,44;-89,17;3,62;1,75;-22,10;4,08;4;-3,77;-20,13;49,80;0,95;0,87;93,50;46,56;-124,55;34;1,61;28,11;0,40;0,40
907179;Alexandria Real Est. Equ. Inc.;US0152711091;REIT - Büro;Immobilien;19;20;-21,21;-25,29;-43,49;0,305;33;6,18;21,39;3,24;31,34;21,49;44,68;77;116,04;-11,82;10,77;8,69;-2,11;45,85;21;3,10;29,53;53,41;0,58;0,53;55,69;29,75;811,97;45;4,90;148,43;5,10;5,30
907550;Boston Properties Inc.;US1011211018;REIT - Büro;Immobilien;22;38;8,24;-21,21;-28,75;0,380;35;2,86;18,45;5,66;22,69;23,85;17,56;8;18,22;-32,78;3,33;2,47;-53,90;-4,87;40;11,09;41,45;25,33;3,16;3,09;239,60;60,70;333,47;76;6,59;72,59;6,90;7,00
A0BLMY;Gecina S.A.;FR0010040865;REIT - Büro;Immobilien;9;65;-5,37;2,83;-19,00;0,227;24;8,87;119,99;12,30;15,67;15,30;22,35;11;-26,88;-56,66;-12,91;1,40;156,84;2,43;9;-8,04;-108,59;61,70;0,18;0,04;57,04;35,19;278,35;49;5,48;231,44;5,80;5,90
893899;Vornado Realty Trust;US9290421091;REIT - Büro;Immobilien;7;57;41,20;0,32;-19,06;0,478;18;2,32;15,92;7,20;52,49;460,62;-5,36;3;-13,20;-78,75;4,34;-1,80;-79,85;-84,39;23;-8,89;-5,27;35,41;2,17;2,01;156,26;55,33;-39,92;42;4,53;400,00;3,70;5,70
A2DW8Z;Aroundtown SA;LU1673108939;Immobilien-Dienstleistungen;Immobilien;18;54;81,37;7,44;-28,15;0,620;34;1,37;22,79;-;neg.;16,33;-6,48;6;113,47;-187,48;-0,93;-0,67;-332,27;-90,20;26;-13,78;-144,95;38,38;3,77;2,81;104,27;40,01;-128,41;68;3,86;43,40;3,10;4,40
922134;CoStar Group Inc.;US22160N1090;Immobilien-Dienstleistungen;Immobilien;52;78;12,53;7,43;-15,92;0,281;7;13,89;79,05;3,07;62,37;53,55;26,49;91;106,42;88,37;12,73;15,94;33,89;16,46;86;5,92;15,68;81,76;13,92;13,75;16,09;13,16;13.902,37;0;0,00;-;0,00;0,00
A1JLYH;CBRE Group Inc.;US12504L1098;Immobilien-Dienstleistungen;Immobilien;43;55;-3,38;2,90;-22,08;0,297;69;0,74;17,48;1,67;17,64;13,81;29,96;61;47,38;26,38;2,02;8,37;-9,27;27,75;45;10,42;3,00;38,28;1,03;0,92;44,47;17,02;3.111,05;19;4,54;-;0,00;0,00
A14RZD;Cellnex Telecom S.A.;ES0105066007;Immobilien-Dienstleistungen;Immobilien;2;35;-26,08;-12,59;-28,17;0,261;16;6,42;1.415,17;-;neg.;neg.;59,48;27;373,23;-863,75;26,40;5,25;-179,27;-145,51;2;-2,33;4,88;32,13;0,99;0,84;147,45;47,38;21,71;28;0,05;52,55;0,20;0,30
A1ML7J;Vonovia SE;DE000A1ML7J1;Immobilien-Dienstleistungen;Immobilien;9;44;10,48;-4,75;-26,74;0,413;56;3,09;28,56;4,28;9,63;10,74;35,02;8;-23,68;-38,88;-65,75;1,70;166,31;-10,33;1;-20,42;-134,17;30,90;0,98;0,42;145,82;45,06;-17,59;79;3,76;54,97;5,00;6,20
676650;Aurubis AG;DE0006766504;Metallerzeugung;Industrie;49;38;-12,95;14,46;-29,02;0,351;68;0,18;neg.;1,83;10,18;8,75;26,24;26;63,01;11,78;-8,25;2,75;-55,89;16,31;63;7,02;2,14;57,17;2,35;0,63;7,69;4,40;5.554,65;47;2,57;29,21;1,90;1,70
931083;ATI Inc;US01741R1023;Metallerzeugung;Industrie;40;56;-1,98;33,59;-20,58;0,395;46;1,49;69,75;1,33;17,16;13,07;33,01;69;4,02;25,21;9,73;6,40;116,38;30,75;50;29,04;9,65;23,53;2,57;1,27;167,13;39,32;275,90;26;1,34;50,00;0,00;0,00
750000;ThyssenKrupp AG;DE0007500001;Metallerzeugung;Industrie;37;65;2,92;23,21;-14,68;0,421;46;0,11;neg.;125,32;neg.;7,88;48,89;7;-10,43;-106,22;-9,57;-3,63;-100,34;13.398,83;61;2,41;0,94;37,88;1,97;1,15;28,03;10,62;874,86;50;2,08;8,24;2,20;2,70
887240;Mueller Industries Inc.;US6247561029;Metallerzeugung;Industrie;92;65;1,59;13,92;-22,91;0,326;64;1,13;5,98;3,41;9,20;12,88;41,10;12;25,36;318,48;-21,05;0,19;-34,75;-28,57;100;35,54;23,60;79,87;4,41;3,04;1,33;1,06;108.251,98;65;2,09;8,59;-;-
;ESAB Corp;;Metallerzeugung;Industrie;-;94;13,05;88,45;-10,03;0,322;38;1,58;30,70;1,74;-;-;;-;-;-;-;-;-;-;40;15,32;14,38;35,97;1,64;0,74;97,28;34,99;-;51;0,31;4,06;-;-
520000;Beiersdorf AG;DE0005200000;Haushalts- und persönliche Produkte;Defensive Konsumgüter;47;94;-3,79;24,77;-6,19;0,147;5;2,97;111,20;2,71;30,44;26,56;5,79;59;31,48;23,59;8,08;5,86;19,14;14,58;81;10,58;13,81;63,05;1,47;0,93;3,10;1,95;6.950,00;31;0,57;21,03;0,60;0,70
852062;The Procter & Gamble Co.;US7427181091;Haushalts- und persönliche Produkte;Defensive Konsumgüter;32;92;-0,54;15,80;-5,27;0,151;10;4,42;27,47;3,38;26,39;23,45;9,56;42;25,40;340,70;2,27;3,50;1,55;5,27;38;31,34;23,30;38,71;0,63;0,38;75,73;29,32;2.527,65;60;4,68;15,48;2,48;2,60
853888;L'Oréal S.A.;FR0000120321;Haushalts- und persönliche Produkte;Defensive Konsumgüter;51;72;-9,29;21,95;-12,85;0,220;6;5,22;37,85;4,04;31,91;29,36;9,83;68;53,70;73,94;8,21;6,91;13,67;8,68;81;21,69;19,53;58,02;1,02;0,54;20,79;12,06;9.996,75;41;1,72;56,55;1,70;1,80
A0JNE2;Unilever PLC;GB00B10RZP78;Haushalts- und persönliche Produkte;Defensive Konsumgüter;19;75;-6,89;0,28;-10,01;0,132;24;1,96;23,66;34,92;17,38;16,26;11,38;14;17,64;-24,67;-0,17;3,11;-12,37;6,93;24;42,06;20,04;24,44;0,75;0,47;149,51;36,54;1.410,14;61;5,07;-;3,80;4,10
850667;Colgate-Palmolive Co.;US1941621039;Haushalts- und persönliche Produkte;Defensive Konsumgüter;19;77;-4,31;1,84;-10,99;0,160;11;3,22;37,45;2,38;23,13;21,32;12,45;47;24,46;14,48;7,68;3,69;48,34;8,48;32;2.878,85;15,88;2,55;1,28;0,57;2.311,97;58,93;1.692,81;30;4,49;109,39;2,70;2,80
A1DAHH;Brenntag AG;DE000A1DAHH0;Spezialchemikalien;Grundstoffe;66;74;-6,04;11,58;-12,15;0,228;59;0,59;18,97;1,14;13,05;12,14;23,98;34;42,11;75,98;-8,21;3,91;-8,64;7,52;63;17,16;6,22;41,79;1,83;1,18;61,61;25,74;1.321,46;57;2,72;50,17;2,90;3,10
A3D7VW;Linde PLC;IE000S9YS762;Spezialchemikalien;Grundstoffe;32;96;1,10;30,82;-5,66;0,210;8;5,70;34,27;3,07;26,64;24,46;13,78;61;123,66;4,96;-0,55;5,37;67,69;8,95;36;14,30;22,96;50,25;0,79;0,63;46,94;23,59;2.678,14;45;3,31;56,87;1,40;1,50
850133;Air Liquide-SA Ét.Expl.P.G.Cl.;FR0000120073;Spezialchemikalien;Grundstoffe;24;88;-2,04;17,08;-6,98;0,166;11;2,82;30,54;2,31;24,18;22,23;14,49;45;34,30;58,99;-5,73;5,02;22,91;8,73;27;13,74;15,86;47,93;0,93;0,54;56,35;27,01;1.166,38;45;1,90;55,98;2,00;2,20
854912;Air Products & Chemicals Inc.;US0091581068;Spezialchemikalien;Grundstoffe;56;80;-3,10;17,37;-13,75;0,239;13;4,93;233,92;1,67;24,70;22,04;17,34;57;42,73;68,01;0,37;6,39;12,94;11,86;76;15,77;22,45;48,34;1,81;1,51;63,35;30,62;2.252,11;50;2,42;14,01;2,40;2,60
856050;Sherwin-Williams Co.;US8243481061;Spezialchemikalien;Grundstoffe;13;78;3,64;16,91;-14,63;0,277;11;2,86;57,68;2,52;24,62;22,30;22,94;54;30,16;147,83;3,04;3,19;25,76;10,52;11;80,01;14,94;13,73;0,99;0,46;403,21;55,36;758,42;37;2,04;31,15;0,90;1,00
CBK100;Commerzbank AG;DE000CBK1001;Banken - Regional;Finanzdienstleistungen;91;63;0,49;24,37;-13,87;0,390;97;1,09;2,25;0,12;5,92;5,09;39,14;68;25,21;153,18;3,29;4,45;76,46;16,04;20;5,35;-;6,29;-;-;145,81;9,17;-;72;1,85;20,20;4,60;6,60
887771;BNP Paribas S.A.;FR0000131104;Banken - Regional;Finanzdienstleistungen;80;74;-0,52;19,55;-15,03;0,262;87;1,23;7,74;1,11;6,73;5,94;37,78;27;-9,65;47,29;-21,46;5,79;8,20;13,27;18;9,97;-;4,57;-;-;244,39;11,16;-;92;6,45;50,00;8,00;8,50
917523;U.S. Bancorp;US9029733048;Banken - Regional;Finanzdienstleistungen;43;29;-4,00;-19,12;-33,19;0,379;60;1,83;4,38;2,15;8,77;8,02;22,97;33;25,58;-8,00;16,95;-0,38;3,47;9,31;31;12,37;-;7,52;-;-;136,68;10,28;-;86;5,90;50,95;5,80;5,90
867679;PNC Financial Services Group Inc;US6934751057;Banken - Regional;Finanzdienstleistungen;33;31;-7,89;-23,74;-32,06;0,314;48;2,15;11,58;5,72;8,60;9,24;19,39;16;33,11;24,79;2,07;-0,10;-2,85;-6,90;32;12,16;-;8,21;-;-;127,83;10,50;-;88;9,37;43,32;5,30;5,40
850605;Intesa Sanpaolo S.p.A.;IT0000072618;Banken - Regional;Finanzdienstleistungen;95;69;-1,32;25,14;-9,39;0,254;95;1,88;2,15;0,70;5,99;5,72;43,33;54;36,13;65,01;11,04;0,91;72,19;4,79;24;9,86;-;6,32;-;-;155,93;9,85;-;88;15,12;71,26;11,80;12,30
547030;CTS Eventim AG & Co. KGaA;DE0005470306;Unterhaltung;Kommunikationsdienstleistungen;62;56;-2,58;17,09;-20,88;0,302;27;2,49;43,58;-;23,38;21,89;27,89;68;72,45;96,83;11,19;3,76;14,20;6,81;73;33,73;17,16;28,04;1,09;0,97;16,58;4,65;6.817,26;47;1,96;50,00;1,90;2,30
855686;The Walt Disney Co.;US2546871060;Unterhaltung;Kommunikationsdienstleistungen;21;31;-13,65;-14,46;-28,35;0,322;41;1,78;191,72;0,97;22,90;17,89;23,53;68;49,91;-55,98;7,71;5,12;113,76;28,01;32;2,37;6,88;46,66;1,00;0,83;54,32;25,34;441,19;24;0,00;26,51;0,00;0,40
552484;Netflix Inc.;US64110L1061;Unterhaltung;Kommunikationsdienstleistungen;32;58;6,41;27,10;-28,62;0,396;20;5,00;103,97;1,45;29,22;22,97;29,38;91;113,39;326,21;6,61;13,03;17,31;27,18;51;20,26;17,26;42,76;1,17;0,96;69,08;29,54;845,38;4;0,58;-;0,00;0,00
A3C291;UNIVERSAL MUSIC GROUP EO1;NL0015000IY2;Unterhaltung;Kommunikationsdienstleistungen;30;98;18,55;25,43;-4,16;0,236;12;4,19;28,93;2,62;23,44;20,49;8,42;83;81,27;72,60;5,59;8,49;96,68;14,34;25;48,96;15,42;20,20;0,55;0,32;113,70;22,97;1.423,53;25;2,06;118,60;2,50;2,80
A3DJQZ;Warner Bros Discovery;US9344231041;Unterhaltung;Kommunikationsdienstleistungen;1;13;-23,50;-16,10;-35,25;0,537;48;0,63;22,52;1,17;neg.;222,83;72,70;23;298,38;-193,64;24,32;2,65;-121,08;-94,10;3;-13,98;-13,97;35,15;0,93;0,76;104,04;36,57;-404,22;0;0,00;-;0,00;0,00
823212;Deutsche Lufthansa AG;DE0008232125;Fluglinien;Industrie;40;29;-27,26;0,32;-38,65;0,270;99;0,24;8,07;0,17;4,73;4,60;64,10;43;4,36;-55,77;13,19;6,35;119,03;2,27;8;19,24;6,68;19,40;0,86;0,72;180,51;35,01;315,16;48;0,00;17,47;3,00;4,50
A0MQV8;Delta Air Lines Inc.;US2473617023;Fluglinien;Industrie;30;43;-4,33;1,91;-33,47;0,308;89;0,40;neg.;0,16;5,42;4,97;62,11;52;23,45;7,49;8,45;3,20;195,47;8,97;8;50,16;8,63;9,11;0,50;0,37;465,06;42,34;286,01;31;0,27;21,34;0,50;1,00
A1401Z;Ryanair Holdings PLC;IE00BYTBXV33;Fluglinien;Industrie;74;70;3,81;23,78;-15,01;0,275;63;1,68;8,90;61,79;12,39;9,18;55,20;96;70,41;106,89;124,44;21,73;-;38,54;32;23,49;14,10;34,40;0,80;0,64;72,94;25,09;1.978,26;36;4,22;-;-;1,70
862837;Southwest Airlines Co.;US8447411088;Fluglinien;Industrie;44;20;-23,32;-25,42;-38,83;0,309;63;0,65;neg.;0,30;15,06;11,13;26,29;68;18,97;-61,86;9,73;8,22;80,24;35,28;42;5,52;3,99;30,22;1,43;1,28;88,25;26,66;341,86;55;2,66;41,38;2,50;3,00
A1C6TV;United Airlines Holdings Inc.;US9100471096;Fluglinien;Industrie;27;23;-19,27;-7,31;-37,76;0,372;95;0,26;36,04;0,10;3,63;3,59;76,20;70;29,63;29,33;19,10;6,17;340,63;1,45;21;45,69;10,20;10,24;1,00;0,91;528,32;54,09;159,18;1;0,00;2.343,75;0,00;0,00
556520;Dürr AG;DE0005565204;Spezielle Industriemaschinen;Industrie;59;24;-22,95;-12,12;-35,52;0,296;87;0,44;14,88;1,15;9,04;7,71;55,10;56;20,95;14,95;8,50;3,54;38,06;17,18;33;13,75;5,43;24,69;1,24;0,85;78,20;19,31;779,80;72;2,72;38,67;4,10;4,90
A3CSML;General Electric Co.;US3696043013;Spezielle Industriemaschinen;Industrie;32;91;7,83;52,52;-8,81;0,310;22;1,48;33,57;1,52;45,64;24,54;21,26;45;-35,75;-88,75;-18,58;10,60;3.828,20;86,01;39;28,59;15,85;19,37;1,16;0,81;95,54;18,50;187,87;32;1,38;6,91;0,40;0,40
723610;Siemens AG;DE0007236101;Spezielle Industriemaschinen;Industrie;51;56;-10,60;15,53;-22,24;0,237;62;1,37;18,06;1,02;13,38;12,64;36,18;42;-6,72;36,20;7,62;3,82;108,55;5,78;45;19,61;17,41;32,27;1,38;0,97;103,56;33,42;1.138,32;52;4,94;92,59;3,50;3,70
860180;Schneider Electric SE;FR0000121972;Spezielle Industriemaschinen;Industrie;39;72;-3,03;11,75;-12,59;0,228;21;2,49;27,48;2,14;18,70;17,22;18,48;61;40,17;85,36;5,49;4,52;25,26;8,48;42;15,57;16,07;43,58;0,91;0,56;41,13;17,93;2.447,26;50;2,01;51,22;2,40;2,70
A1J88N;Eaton Corporation PLC;IE00B8KQN827;Spezielle Industriemaschinen;Industrie;47;92;24,21;45,62;-15,82;0,267;10;3,84;46,46;2,17;23,03;20,76;16,97;65;6,88;78,26;11,29;6,66;42,43;10,95;63;15,79;15,44;48,66;1,38;0,73;53,49;26,03;2.121,53;41;1,71;53,58;1,70;1,80
609500;ENCAVIS AG;DE0006095003;Versorgungsunternehmen - erneuerbar;Versorger;12;16;-19,95;-36,34;-41,74;0,303;45;4,19;11,57;-;20,07;18,95;70,00;75;84,22;1.422,36;-5,96;8,59;24,27;5,91;10;5,94;34,97;27,96;0,78;0,64;187,94;52,54;258,01;28;2,00;57,69;0,00;0,00
A3DCXB;Constellation Energy Corp;US21037T1097;Versorgungsunternehmen - erneuerbar;Versorger;21;99;51,79;35,45;-1,63;0,280;7;1,46;neg.;3,01;23,35;18,77;-2,72;72;12,23;336,64;-6,15;5,64;910,45;24,26;27;6,96;6,04;23,49;1,19;0,48;52,35;12,30;-115,94;22;0,90;-;1,00;1,10
887832;CEZ AS;CZ0005112300;Versorgungsunternehmen - erneuerbar;Versorger;73;52;-15,55;26,20;-21,12;0,294;65;1,33;5,80;-;15,18;14,83;-4,06;45;84,80;245,01;-9,09;7,91;-55,76;2,35;54;42,41;28,98;19,28;1,03;0,43;97,61;18,82;1.365,21;84;14,80;96,35;11,90;6,30
A0NBLH;Orsted A/S;DK0060094928;Versorgungsunternehmen - erneuerbar;Versorger;24;5;-45,18;-48,45;-54,02;0,463;59;1,46;63,99;0,90;21,36;15,61;72,95;23;43,96;-63,93;-21,63;4,97;-55,80;36,86;42;13,88;14,20;29,14;1,51;0,96;78,16;22,78;717,86;74;3,51;39,02;4,40;4,70
A0Q249;EDP Renováveis S.A.;ES0127797019;Versorgungsunternehmen - erneuerbar;Versorger;9;19;-28,22;-32,50;-37,51;0,270;11;6,53;112,32;6,12;35,29;29,59;49,02;63;42,82;60,79;0,77;13,97;-9,55;19,29;23;4,39;49,58;32,83;0,65;0,49;80,88;26,55;337,93;34;0,48;41,96;1,10;1,30
EVNK01;Evonik Industries AG;DE000EVNK013;Spezialchemikalien;Grundstoffe;24;42;-13,80;-11,50;-22,84;0,233;45;0,47;15,08;6,23;18,29;12,13;19,86;20;18,28;-54,21;-15,12;3,96;-21,06;50,85;31;-2,81;0,01;50,32;1,83;0,86;38,54;19,39;862,81;57;6,80;100,86;6,70;6,80
A3D7VW;Linde PLC;IE000S9YS762;Spezialchemikalien;Grundstoffe;32;96;1,10;30,82;-5,66;0,210;8;5,70;34,27;3,07;26,64;24,46;13,78;61;123,66;4,96;-0,55;5,37;67,69;8,95;36;14,30;22,96;50,25;0,79;0,63;46,94;23,59;2.678,14;45;3,31;56,87;1,40;1,50
850133;Air Liquide-SA Ét.Expl.P.G.Cl.;FR0000120073;Spezialchemikalien;Grundstoffe;24;88;-1,99;17,14;-6,93;0,166;11;2,82;30,54;2,31;24,18;22,23;14,43;45;34,30;58,99;-5,73;5,02;22,91;8,73;27;13,74;15,86;47,93;0,93;0,54;56,35;27,01;1.166,38;45;1,90;55,98;2,00;2,20
854912;Air Products & Chemicals Inc.;US0091581068;Spezialchemikalien;Grundstoffe;56;80;-3,10;17,37;-13,75;0,239;13;4,93;233,92;1,67;24,70;22,04;17,34;57;42,73;68,01;0,37;6,39;12,94;11,86;76;15,77;22,45;48,34;1,81;1,51;63,35;30,62;2.252,11;50;2,42;14,01;2,40;2,60
856050;Sherwin-Williams Co.;US8243481061;Spezialchemikalien;Grundstoffe;13;78;3,64;16,91;-14,63;0,277;11;2,86;57,68;2,52;24,62;22,30;22,94;54;30,16;147,83;3,04;3,19;25,76;10,52;11;80,01;14,94;13,73;0,99;0,46;403,21;55,36;758,42;37;2,04;31,15;0,90;1,00
577330;Fraport AG;DE0005773303;Flughäfen und Luftverkehrsdienste;Industrie;75;63;-2,86;19,09;-16,34;0,311;53;1,35;107,47;1,80;12,44;9,52;28,78;73;9,95;-28,50;19,73;6,82;156,50;29,90;75;6,75;20,39;22,20;1,44;1,32;6,36;1,41;174,61;39;5,15;39,14;0,00;0,10
A12D3A;Aena SME S.A.;ES0105046009;Flughäfen und Luftverkehrsdienste;Industrie;81;80;-7,58;20,91;-10,34;0,208;46;4,61;38,23;0,12;15,59;13,48;16,30;68;16,28;1,26;16,82;8,57;49,11;14,85;73;18,87;37,53;42,38;1,48;1,45;112,47;47,67;1.369,88;60;3,33;79,03;5,20;5,90
A0J2WM;Aéroports de Paris S.A.;FR0010340141;Flughäfen und Luftverkehrsdienste;Industrie;40;27;-24,84;-23,16;-31,07;0,258;53;2,11;22,47;0,15;18,73;17,89;25,17;50;34,56;-10,49;15,02;6,50;5,63;4,89;47;14,60;21,20;21,36;1,29;1,14;248,32;53,04;408,06;62;2,93;59,96;3,20;3,50
A2AJEP;Flughafen Zürich AG;CH0319416936;Flughäfen und Luftverkehrsdienste;Industrie;66;85;3,79;15,76;-9,19;0,202;20;4,69;22,57;3,18;19,10;16,76;18,43;59;3,74;14,64;16,85;6,32;31,82;13,50;76;11,04;31,76;51,36;1,66;1,40;71,50;36,72;1.122,55;54;2,04;40,27;2,70;3,10
890262;Københavns Lufthavne AS;DK0010201102;Flughäfen und Luftverkehrsdienste;Industrie;-;42;-14,68;-13,37;-22,53;0,228;20;1,41;75,17;1,33;-;-;-66,07;-;-;-;-;-;-;-;6;10,96;15,05;17,66;0,11;0,09;367,59;64,92;274,83;51;0,41;23,29;-;-
A3E5D6;Fuchs SE Vz;DE000A3E5D64;Spezialchemikalien;Grundstoffe;90;77;-5,12;21,21;-11,16;0,236;50;0,69;19,16;-;16,89;15,28;23,01;39;40,40;1,25;5,63;1,40;11,54;10,50;92;15,30;10,66;72,85;2,22;1,06;9,74;7,09;6.050,00;62;2,91;57,22;3,20;3,30
A3D7VW;Linde PLC;IE000S9YS762;Spezialchemikalien;Grundstoffe;32;96;1,10;30,82;-5,66;0,210;8;5,70;34,27;3,07;26,64;24,46;13,78;61;123,66;4,96;-0,55;5,37;67,69;8,95;36;14,30;22,96;50,25;0,79;0,63;46,94;23,59;2.678,14;45;3,31;56,87;1,40;1,50
850133;Air Liquide-SA Ét.Expl.P.G.Cl.;FR0000120073;Spezialchemikalien;Grundstoffe;24;88;-2,01;17,11;-6,93;0,166;11;2,82;30,54;2,31;24,18;22,23;14,43;45;34,30;58,99;-5,73;5,02;22,91;8,73;27;13,74;15,86;47,93;0,93;0,54;56,35;27,01;1.166,38;45;1,90;55,98;2,00;2,20
854912;Air Products & Chemicals Inc.;US0091581068;Spezialchemikalien;Grundstoffe;56;80;-3,10;17,37;-13,75;0,239;13;4,93;233,92;1,67;24,70;22,04;17,34;57;42,73;68,01;0,37;6,39;12,94;11,86;76;15,77;22,45;48,34;1,81;1,51;63,35;30,62;2.252,11;50;2,42;14,01;2,40;2,60
856050;Sherwin-Williams Co.;US8243481061;Spezialchemikalien;Grundstoffe;13;78;3,64;16,91;-14,63;0,277;11;2,86;57,68;2,52;24,62;22,30;22,94;54;30,16;147,83;3,04;3,19;25,76;10,52;11;80,01;14,94;13,73;0,99;0,46;403,21;55,36;758,42;37;2,04;31,15;0,90;1,00
660200;GEA Group AG;DE0006602006;Spezielle Industriemaschinen;Industrie;57;39;-23,04;-8,21;-25,88;0,199;46;1,11;22,03;3,56;13,29;12,83;28,97;46;14,41;293,96;6,95;2,62;8,86;3,61;69;19,14;9,95;38,52;1,13;0,72;16,33;6,29;1.901,12;71;5,54;23,66;3,10;3,30
A3CSML;General Electric Co.;US3696043013;Spezielle Industriemaschinen;Industrie;32;91;7,83;52,52;-8,81;0,310;22;1,48;33,57;1,52;45,64;24,54;21,26;45;-35,75;-88,75;-18,58;10,60;3.828,20;86,01;39;28,59;15,85;19,37;1,16;0,81;95,54;18,50;187,87;32;1,38;6,91;0,40;0,40
723610;Siemens AG;DE0007236101;Spezielle Industriemaschinen;Industrie;51;56;-10,64;15,48;-22,28;0,237;62;1,37;18,06;1,02;13,38;12,64;36,24;42;-6,72;36,20;7,62;3,82;108,55;5,78;45;19,61;17,41;32,27;1,38;0,97;103,56;33,42;1.138,32;52;4,94;92,59;3,50;3,70
860180;Schneider Electric SE;FR0000121972;Spezielle Industriemaschinen;Industrie;39;72;-3,09;11,68;-12,65;0,228;21;2,49;27,48;2,14;18,70;17,22;18,58;61;40,17;85,36;5,49;4,52;25,26;8,48;42;15,57;16,07;43,58;0,91;0,56;41,13;17,93;2.447,26;50;2,01;51,22;2,40;2,70
A1J88N;Eaton Corporation PLC;IE00B8KQN827;Spezielle Industriemaschinen;Industrie;47;92;24,21;45,62;-15,82;0,267;10;3,84;46,46;2,17;23,03;20,76;16,97;65;6,88;78,26;11,29;6,66;42,43;10,95;63;15,79;15,44;48,66;1,38;0,73;53,49;26,03;2.121,53;41;1,71;53,58;1,70;1,80
